class   coords1   coords2   coords3   coords4   confidence_value   objectID
56 0.841283 0.886185 0.317435 0.226713 0.500464 11
0 0.193722 0.505187 0.200183 0.257662 0.696859 16
0 0.242956 0.722892 0.485911 0.550605 0.705315 22
56 0.539441 0.803964 0.215776 0.325959 0.834484 24
67 0.443935 0.506584 0.119458 0.283955 0.80994 25

0 0.797944 0.66786 0.404112 0.661023 0.812596 12
56 0.841014 0.885997 0.317972 0.227177 0.562186 11
0 0.193168 0.504888 0.202736 0.256854 0.595046 16
0 0.241425 0.722157 0.482849 0.552079 0.76256 22
56 0.539165 0.801912 0.211714 0.324459 0.831354 24
67 0.443113 0.506194 0.120748 0.284883 0.744959 25

0 0.798138 0.667534 0.403723 0.660357 0.850478 12
56 0.841119 0.885879 0.317762 0.227086 0.649638 11
0 0.192868 0.504821 0.206167 0.257379 0.66243 16
0 0.240368 0.723688 0.480736 0.549215 0.749291 22
56 0.539409 0.79882 0.205193 0.318451 0.848304 24
67 0.443015 0.506379 0.121886 0.285532 0.760323 25

0 0.79843 0.669917 0.403139 0.657111 0.793691 12
56 0.841011 0.885892 0.317977 0.227192 0.55703 11
0 0.191966 0.505 0.208629 0.257218 0.650195 16
0 0.240251 0.723134 0.480501 0.550646 0.742879 22
56 0.538328 0.805942 0.210191 0.331136 0.827745 24
67 0.442089 0.506348 0.122969 0.286205 0.801342 25

0 0.798233 0.672749 0.401092 0.651504 0.836553 12
56 0.841226 0.886289 0.317547 0.226451 0.519576 11
0 0.192035 0.506772 0.212243 0.258807 0.606443 16
0 0.237134 0.726108 0.474267 0.544996 0.793332 22
56 0.538894 0.798744 0.198646 0.315702 0.822628 24
67 0.440623 0.51237 0.123911 0.287063 0.756844 25

0 0.798431 0.674309 0.40018 0.649903 0.797367 12
56 0.840845 0.88585 0.318311 0.227374 0.582291 11
0 0.193474 0.509019 0.216385 0.260853 0.587063 16
0 0.236483 0.727132 0.472965 0.542858 0.76686 22
56 0.538086 0.794745 0.19094 0.305463 0.834201 24
67 0.440515 0.518837 0.12425 0.286301 0.797513 25

0 0.798323 0.676463 0.398277 0.647073 0.793091 12
56 0.841033 0.885988 0.317935 0.227125 0.55345 11
0 0.195435 0.512331 0.223588 0.267235 0.724565 16
0 0.235358 0.7282 0.470717 0.540829 0.732514 22
56 0.538342 0.799129 0.191312 0.30857 0.783681 24
67 0.441173 0.525746 0.125659 0.288318 0.812576 25
0 0.819357 0.563162 0.344285 0.420685 0.581776 27

0 0.182429 0.706209 0.364858 0.585553 0.941245 1
0 0.441523 0.894959 0.165563 0.208649 0.850803 2

0 0.79602 0.677556 0.395588 0.642458 0.872976 12
56 0.841099 0.886312 0.317656 0.226456 0.653061 11
0 0.195784 0.513741 0.227079 0.269518 0.693923 16
0 0.235761 0.72691 0.471522 0.543643 0.779915 22
56 0.536649 0.809423 0.199438 0.325952 0.806313 24
67 0.440722 0.530117 0.12657 0.289897 0.826945 25
56 0.910554 0.744208 0.178892 0.090543 0.607109 28

0 0.79379 0.678669 0.393752 0.640358 0.85198 12
56 0.840946 0.886737 0.316509 0.225547 0.707337 11
0 0.196132 0.518546 0.234517 0.277531 0.757989 16
0 0.232393 0.727971 0.464787 0.541032 0.796876 22
56 0.536778 0.802221 0.188393 0.309392 0.620962 24
67 0.43567 0.550489 0.124931 0.288672 0.627748 25
56 0.910395 0.744711 0.179211 0.0907436 0.587502 28

0 0.792727 0.679432 0.392577 0.639364 0.828702 12
56 0.840961 0.887184 0.315594 0.224749 0.732392 11
0 0.196854 0.524647 0.243793 0.289288 0.794355 16
0 0.221306 0.729266 0.442612 0.538586 0.832234 22
56 0.53621 0.807905 0.197252 0.328216 0.730633 24
63 0.430325 0.574009 0.121618 0.284262 0.42925 25
56 0.910694 0.745514 0.178611 0.0903706 0.685675 28
